Date,Price
4/20/2020,"-3,355.49"
4/21/2020,808.48
4/27/2020,"1,104.28"
4/28/2020,"1,125.15"
4/22/2020,"1,237.67"
3/30/2020,"1,279.41"
4/29/2020,"1,364.70"
4/23/2020,"1,366.51"
3/27/2020,"1,404.62"
4/24/2020,"1,450.90"
3/26/2020,"1,506.25"
4/17/2020,"1,661.41"
4/30/2020,"1,744.89"
3/20/2020,"1,767.58"
5/1/2020,"1,789.35"
4/16/2020,"1,798.43"
4/15/2020,"1,811.13"
4/14/2020,"1,828.37"
4/1/2020,"1,840.17"
5/4/2020,"1,857.41"
3/18/2020,"1,858.31"
3/31/2020,"1,861.04"
3/25/2020,"1,882.81"
3/24/2020,"1,908.22"
4/13/2020,"2,028.90"
4/9/2020,"2,077.90"
3/23/2020,"2,116.92"
4/7/2020,"2,135.97"
5/7/2020,"2,148.68"
5/6/2020,"2,166.82"
5/11/2020,"2,179.53"
5/5/2020,"2,228.53"
5/8/2020,"2,243.95"
4/8/2020,"2,265.73"
3/19/2020,"2,276.62"
4/2/2020,"2,284.78"
5/13/2020,"2,302.02"
5/12/2020,"2,337.41"
4/6/2020,"2,378.24"
3/17/2020,"2,446.30"
5/14/2020,"2,486.22"
4/3/2020,"2,573.33"
3/16/2020,"2,627.77"
5/15/2020,"2,671.33"
3/9/2020,"2,817.41"
3/12/2020,"2,863.69"
3/13/2020,"2,878.21"
5/18/2020,"2,888.19"
5/19/2020,"2,930.84"
5/27/2020,"2,976.21"
3/11/2020,"3,006.15"
5/22/2020,"3,038.82"
5/20/2020,"3,045.17"
5/28/2020,"3,055.15"
5/21/2020,"3,112.31"
3/10/2020,"3,127.74"
5/26/2020,"3,148.61"
6/1/2020,"3,220.29"
5/29/2020,"3,227.55"
10/30/2020,"3,233.90"
10/29/2020,"3,261.12"
6/12/2020,"3,288.34"
6/11/2020,"3,305.59"
11/2/2020,"3,321.01"
9/8/2020,"3,345.51"
6/2/2020,"3,346.42"
10/2/2020,"3,348.23"
11/6/2020,"3,354.58"
6/15/2020,"3,363.66"
9/14/2020,"3,378.18"
9/10/2020,"3,379.99"
10/28/2020,"3,381.81"
6/3/2020,"3,387.25"
9/11/2020,"3,387.25"
6/4/2020,"3,395.42"
11/3/2020,"3,397.23"
6/17/2020,"3,439.88"
6/24/2020,"3,439.88"
9/9/2020,"3,452.58"
6/8/2020,"3,463.47"
6/16/2020,"3,471.64"
9/15/2020,"3,474.36"
10/26/2020,"3,483.43"
10/1/2020,"3,494.32"
6/26/2020,"3,496.13"
11/5/2020,"3,498.86"
6/25/2020,"3,507.93"
6/18/2020,"3,519.73"
11/4/2020,"3,536.06"
6/9/2020,"3,536.97"
9/29/2020,"3,541.50"
10/5/2020,"3,549.67"
10/12/2020,"3,558.74"
9/21/2020,"3,562.37"
6/30/2020,"3,563.28"
10/27/2020,"3,569.63"
6/5/2020,"3,583.24"
6/10/2020,"3,587.78"
9/22/2020,"3,588.69"
7/9/2020,"3,596.85"
6/29/2020,"3,599.58"
9/4/2020,"3,601.39"
6/19/2020,"3,604.11"
10/23/2020,"3,605.02"
10/7/2020,"3,613.19"
7/30/2020,"3,615.91"
7/1/2020,"3,618.63"
10/21/2020,"3,618.63"
9/23/2020,"3,622.26"
11/13/2020,"3,623.17"
10/13/2020,"3,632.24"
9/30/2020,"3,634.06"
11/9/2020,"3,634.06"
7/13/2020,"3,634.96"
9/25/2020,"3,634.96"
7/31/2020,"3,638.59"
9/24/2020,"3,639.50"
9/16/2020,"3,644.95"
7/14/2020,"3,656.74"
6/23/2020,"3,665.81"
10/9/2020,"3,669.44"
10/22/2020,"3,671.26"
9/28/2020,"3,672.17"
7/6/2020,"3,675.80"
10/6/2020,"3,676.70"
7/17/2020,"3,679.43"
7/10/2020,"3,680.33"
7/2/2020,"3,681.24"
7/7/2020,"3,683.06"
6/22/2020,"3,683.96"
10/19/2020,"3,692.13"
10/16/2020,"3,693.04"
7/16/2020,"3,696.67"
7/20/2020,"3,704.83"
8/3/2020,"3,704.83"
10/15/2020,"3,705.74"
10/14/2020,"3,707.55"
7/28/2020,"3,710.28"
11/12/2020,"3,711.18"
7/8/2020,"3,712.09"
7/23/2020,"3,719.35"
9/17/2020,"3,719.35"
10/8/2020,"3,723.89"
9/18/2020,"3,728.42"
7/29/2020,"3,732.05"
3/6/2020,"3,732.96"
11/16/2020,"3,732.96"
8/7/2020,"3,734.78"
11/10/2020,"3,736.59"
7/15/2020,"3,738.41"
7/24/2020,"3,741.13"
11/11/2020,"3,741.13"
11/17/2020,"3,742.03"
10/20/2020,"3,753.83"
9/3/2020,"3,755.65"
7/27/2020,"3,762.00"
8/11/2020,"3,768.35"
11/19/2020,"3,771.98"
11/18/2020,"3,778.33"
8/4/2020,"3,781.05"
7/21/2020,"3,789.22"
7/22/2020,"3,800.11"
8/6/2020,"3,804.64"
8/10/2020,"3,805.55"
11/20/2020,"3,810.09"
8/14/2020,"3,815.53"
8/5/2020,"3,833.68"
8/13/2020,"3,834.59"
8/21/2020,"3,840.03"
8/24/2020,"3,850.92"
8/12/2020,"3,865.44"
8/31/2020,"3,866.35"
8/20/2020,"3,867.25"
9/1/2020,"3,879.96"
9/2/2020,"3,879.96"
8/27/2020,"3,890.85"
8/17/2020,"3,891.75"
8/18/2020,"3,891.75"
8/19/2020,"3,893.57"
11/23/2020,"3,893.57"
8/28/2020,"3,898.10"
8/25/2020,"3,917.16"
8/26/2020,"3,920.79"
12/1/2020,"4,041.47"
11/24/2020,"4,056.90"
2/28/2020,"4,067.78"
11/30/2020,"4,101.36"
12/2/2020,"4,104.08"
12/9/2020,"4,126.76"
11/25/2020,"4,135.84"
12/8/2020,"4,141.28"
12/3/2020,"4,142.19"
12/7/2020,"4,148.54"
3/5/2020,"4,164.87"
12/4/2020,"4,194.82"
12/11/2020,"4,227.48"
12/10/2020,"4,242.91"
3/2/2020,"4,244.72"
3/4/2020,"4,244.72"
12/14/2020,"4,266.50"
12/22/2020,"4,266.50"
2/27/2020,"4,280.11"
3/3/2020,"4,289.19"
1/4/2021,"4,307.33"
12/28/2020,"4,310.05"
12/15/2020,"4,317.31"
12/21/2020,"4,336.37"
12/29/2020,"4,341.81"
12/16/2020,"4,342.72"
12/23/2020,"4,349.98"
12/24/2020,"4,371.76"
