Date,Open,High,Low,Close,Volume,Ticker
2020-01-02,3244.67,3258.14,3235.53,3257.85,3459930000,^GSPC
2020-01-03,3226.36,3246.15,3222.34,3234.85,3484700000,^GSPC
2020-01-06,3217.55,3246.84,3214.64,3246.28,3702460000,^GSPC
2020-01-07,3241.86,3244.91,3232.43,3237.18,3435910000,^GSPC
2020-01-08,3238.59,3267.07,3236.67,3253.05,3726840000,^GSPC
2020-01-09,3266.03,3275.58,3263.67,3274.70,3641230000,^GSPC
2020-01-10,3281.81,3282.99,3260.86,3265.35,3214580000,^GSPC
2020-01-13,3271.13,3288.13,3268.43,3288.13,3459390000,^GSPC
2020-01-14,3285.35,3294.25,3277.19,3283.15,3687620000,^GSPC
2020-01-15,3282.27,3298.66,3280.69,3289.29,3721490000,^GSPC
2020-01-16,3302.97,3317.11,3302.82,3316.81,3540580000,^GSPC
2020-01-17,3323.66,3329.88,3318.86,3329.62,3726220000,^GSPC
2020-01-21,3321.03,3329.79,3316.61,3320.79,4104840000,^GSPC
2020-01-22,3330.02,3337.77,3320.04,3321.75,3623780000,^GSPC
2020-01-23,3315.77,3326.88,3301.87,3325.54,3766710000,^GSPC
2020-01-24,3333.10,3333.18,3281.53,3295.47,3708780000,^GSPC
2020-01-27,3247.16,3258.85,3234.50,3243.63,3831050000,^GSPC
2020-01-28,3255.35,3285.78,3253.22,3276.24,3531570000,^GSPC
2020-01-29,3289.46,3293.47,3271.89,3273.40,3600250000,^GSPC
2020-01-30,3256.45,3285.91,3242.80,3283.66,3790350000,^GSPC
2020-01-31,3282.33,3282.33,3214.68,3225.52,4529700000,^GSPC
2020-02-03,3235.66,3268.44,3235.66,3248.92,3760460000,^GSPC
2020-02-04,3280.61,3306.92,3280.61,3297.59,3996900000,^GSPC
2020-02-05,3324.91,3337.58,3313.75,3334.69,4121480000,^GSPC
2020-02-06,3344.92,3347.96,3334.39,3345.78,3887250000,^GSPC
2020-02-07,3335.54,3341.42,3322.12,3327.71,3733920000,^GSPC
2020-02-10,3318.28,3352.26,3317.77,3352.09,3462730000,^GSPC
2020-02-11,3365.87,3375.63,3352.72,3357.75,3762940000,^GSPC
2020-02-12,3370.50,3381.47,3369.72,3379.45,3930910000,^GSPC
2020-02-13,3365.90,3385.09,3360.52,3373.94,3500890000,^GSPC
2020-02-14,3378.08,3380.69,3366.15,3380.16,3419700000,^GSPC
2020-02-18,3369.04,3375.01,3355.61,3370.29,3750400000,^GSPC
2020-02-19,3380.39,3393.52,3378.83,3386.15,3614200000,^GSPC
2020-02-20,3380.45,3389.15,3341.02,3373.23,4019180000,^GSPC
2020-02-21,3360.50,3360.76,3328.45,3337.75,3908780000,^GSPC
2020-02-24,3257.61,3259.81,3214.65,3225.89,4851160000,^GSPC
2020-02-25,3238.94,3246.99,3118.77,3128.21,5596760000,^GSPC
2020-02-26,3139.90,3182.51,3108.99,3116.39,5484650000,^GSPC
2020-02-27,3062.54,3097.07,2977.39,2978.76,7064710000,^GSPC
2020-02-28,2916.90,2959.72,2855.84,2954.22,8569570000,^GSPC
2020-03-02,2974.28,3090.96,2945.19,3090.23,6381330000,^GSPC
2020-03-03,3096.46,3136.72,2976.63,3003.37,6376510000,^GSPC
2020-03-04,3045.75,3130.97,3034.38,3130.12,5073020000,^GSPC
2020-03-05,3075.70,3083.04,2999.83,3023.94,5579290000,^GSPC
